x,y,z,prob
-3.0000,-3.0000,0,0.99000
-2.9326,-3.0000,0,0.99000
-2.8652,-3.0000,0,0.99000
-2.7978,-3.0000,0,0.99000
-2.7303,-3.0000,0,0.99000
-2.6629,-3.0000,0,0.99000
-2.5955,-3.0000,0,0.99000
-2.5281,-3.0000,0,0.99000
-2.4607,-3.0000,0,0.99000
-2.3933,-3.0000,0,0.99000
-2.3258,-3.0000,0,0.99000
-2.2584,-3.0000,0,0.99000
-2.1910,-3.0000,0,0.99000
-2.1236,-3.0000,0,0.99000
-2.0562,-3.0000,0,0.99000
-1.9888,-3.0000,0,0.99000
-1.9213,-3.0000,0,0.99000
-1.8539,-3.0000,0,0.99000
-1.7865,-3.0000,0,0.99000
-1.7191,-3.0000,0,0.99000
-1.6517,-3.0000,0,0.99000
-1.5843,-3.0000,0,0.99000
-1.5169,-3.0000,0,0.99000
-1.4494,-3.0000,0,0.99000
-1.3820,-3.0000,0,0.99000
-1.3146,-3.0000,0,0.99000
-1.2472,-3.0000,0,0.99000
-1.1798,-3.0000,0,0.99000
-1.1124,-3.0000,0,0.99000
-1.0449,-3.0000,0,0.99000
-0.9775,-3.0000,0,0.99000
-0.9101,-3.0000,0,0.99000
-0.8427,-3.0000,0,0.99000
-0.7753,-3.0000,0,0.99000
-0.7079,-3.0000,0,0.99000
-0.6404,-3.0000,0,0.99000
-0.5730,-3.0000,0,0.99000
-0.5056,-3.0000,0,0.99000
-0.4382,-3.0000,0,0.99000
-0.3708,-3.0000,0,0.99000
-0.3034,-3.0000,0,0.99000
-0.2360,-3.0000,0,0.99000
-0.1685,-3.0000,0,0.99000
-0.1011,-3.0000,0,0.99000
-0.0337,-3.0000,0,0.99000
0.0337,-3.0000,0,0.98759
0.1011,-3.0000,0,0.96745
0.1685,-3.0000,0,0.94517
0.2360,-3.0000,0,0.94370
0.3034,-3.0000,0,0.94370
0.3708,-3.0000,0,0.94370
0.4382,-3.0000,0,0.94361
0.5056,-3.0000,0,0.93999
0.5730,-3.0000,0,0.93810
0.6404,-3.0000,0,0.93579
0.7079,-3.0000,0,0.92280
0.7753,-3.0000,0,0.89084
0.8427,-3.0000,0,0.88890
0.9101,-3.0000,0,0.88890
0.9775,-3.0000,0,0.88069
1.0449,-3.0000,0,0.85960
1.1124,-3.0000,0,0.85960
1.1798,-3.0000,0,0.85960
1.2472,-3.0000,0,0.85960
1.3146,-3.0000,0,0.78043
1.3820,-3.0000,0,0.77120
1.4494,-3.0000,0,0.73709
1.5169,-3.0000,0,0.69919
1.5843,-3.0000,0,0.67370
1.6517,-3.0000,0,0.65275
1.7191,-3.0000,0,0.60430
1.7865,-3.0000,0,0.60430
1.8539,-3.0000,0,0.60430
1.9213,-3.0000,0,0.58719
1.9888,-3.0000,0,0.55410
2.0562,-3.0000,0,0.47310
2.1236,-3.0000,0,0.47310
2.1910,-3.0000,0,0.47310
2.2584,-3.0000,0,0.47310
2.3258,-3.0000,0,0.47310
2.3933,-3.0000,0,0.47310
2.4607,-3.0000,0,0.47310
2.5281,-3.0000,0,0.33449
2.5955,-3.0000,0,0.23120
2.6629,-3.0000,0,0.23120
2.7303,-3.0000,0,0.23120
2.7978,-3.0000,0,0.23120
2.8652,-3.0000,0,0.23120
2.9326,-3.0000,0,0.21855
3.0000,-3.0000,0,0.21048
-3.0000,-2.9326,0,0.99000
-2.9326,-2.9326,0,0.99000
-2.8652,-2.9326,0,0.99000
-2.7978,-2.9326,0,0.99000
-2.7303,-2.9326,0,0.99000
-2.6629,-2.9326,0,0.99000
-2.5955,-2.9326,0,0.99000
-2.5281,-2.9326,0,0.99000
-2.4607,-2.9326,0,0.99000
-2.3933,-2.9326,0,0.99000
-2.3258,-2.9326,0,0.99000
-2.2584,-2.9326,0,0.99000
-2.1910,-2.9326,0,0.99000
-2.1236,-2.9326,0,0.99000
-2.0562,-2.9326,0,0.99000
-1.9888,-2.9326,0,0.99000
-1.9213,-2.9326,0,0.99000
-1.8539,-2.9326,0,0.99000
-1.7865,-2.9326,0,0.99000
-1.7191,-2.9326,0,0.99000
-1.6517,-2.9326,0,0.99000
-1.5843,-2.9326,0,0.99000
-1.5169,-2.9326,0,0.99000
-1.4494,-2.9326,0,0.99000
-1.3820,-2.9326,0,0.99000
-1.3146,-2.9326,0,0.99000
-1.2472,-2.9326,0,0.99000
-1.1798,-2.9326,0,0.99000
-1.1124,-2.9326,0,0.99000
-1.0449,-2.9326,0,0.99000
-0.9775,-2.9326,0,0.99000
-0.9101,-2.9326,0,0.99000
-0.8427,-2.9326,0,0.99000
-0.7753,-2.9326,0,0.99000
-0.7079,-2.9326,0,0.99000
-0.6404,-2.9326,0,0.99000
-0.5730,-2.9326,0,0.99000
-0.5056,-2.9326,0,0.99000
-0.4382,-2.9326,0,0.99000
-0.3708,-2.9326,0,0.99000
-0.3034,-2.9326,0,0.99000
-0.2360,-2.9326,0,0.99000
-0.1685,-2.9326,0,0.99000
-0.1011,-2.9326,0,0.99000
-0.0337,-2.9326,0,0.99000
0.0337,-2.9326,0,0.97554
0.1011,-2.9326,0,0.95507
0.1685,-2.9326,0,0.94370
0.2360,-2.9326,0,0.94370
0.3034,-2.9326,0,0.94370
0.3708,-2.9326,0,0.94370
0.4382,-2.9326,0,0.94236
0.5056,-2.9326,0,0.93878
0.5730,-2.9326,0,0.93810
0.6404,-2.9326,0,0.93298
0.7079,-2.9326,0,0.91710
0.7753,-2.9326,0,0.88890
0.8427,-2.9326,0,0.88890
0.9101,-2.9326,0,0.88890
0.9775,-2.9326,0,0.88016
1.0449,-2.9326,0,0.85960
1.1124,-2.9326,0,0.85960
1.1798,-2.9326,0,0.85960
1.2472,-2.9326,0,0.85960
1.3146,-2.9326,0,0.81182
1.3820,-2.9326,0,0.77120
1.4494,-2.9326,0,0.74086
